㐆	to follow; to trust to; to put confidence in; to depend on; to turn around; to turn the body
㐬	a cup with pendants; a pennant; wild; barren; uncultivated
㐮	to help; to assist; to achieve; to rise; to raise
㑨	great; big; tall; vast; noble; high in rank; very; much
㑪	a generation; a class; a series; a kind
㒒	a slave; a servant; used conventionally for oneself; a charioteer
㒵	On —; Kun かお — manner; appearance; form; face; bearing
㒼	average; equivalent; corresponding; to cover something carefully and tightly without a break
㓁	a net; net-like; radical 122
㓛	merit; achievement; meritorious; efficacy; good results
㕞	a brush; to brush; to clean; to scrub; to print; expecially from blocks
㕣	a marsh at the foot of the hills; name of a river
㕮	to chew; to masticate; to dwell on; Chinese medicine term
㖦	loquacity
㖨	Indistinct nasal utterance; laugh; sound of birds
㗅	angry; the throat; what? how? why? which?
㗚	vexingly verbose or wordy; prosy; complicated; annoying
㗴	dogs fighting; to go to law; an indictment
㘅	to hold in the mouth
㙊	an area of level ground; an open space; a threshing floor; arena for drill, etc.; a place to pile a sand-hill
㚖	to come out to the open; to be known by all; glossy; shining
㛏	used in girl's name
㝡	very; exceedingly; most; superior
㝢	a house; a roof; look; appearance; space
㝫	shape of the sky
㝵	to get; complacent; to obstruct; to hinder; to stop progress; to injure; to offend; to concern; hindrance; restraint
㟁	shore; bank; beach; coast
㟢	the rocks on the hills are of different shapes; rugged and weird; character different from others
㟨	a fountain in the side of a hill; name of a mountain
㟴	lump on the hills; rugged; rough; lofty; steep; the dejection one feels at heart
㟽	mountain top; summit; pointing mountain
㠀	island; isle
㠶	a sail; to sail
㡀	ragged clothing; ragged; old and wear out
㡜	ragged clothes; left over; remainder; the excess; the surplus; to cut out (of silk fabrics) as a design
㡡	screen to make a temporary kitchen
㣺	the heart; the moral nature; the mind; the affections; intention; the radical on left side of the character
㤚	joy; delight; gratification
㥯	careful; compassionate; to take an interest in; prudent; cautious; worried and grieved
㩮	to lift up or off; to raise high; to unveil
㩳	to hold; to grasp; to detain; to uphold; to push; to stand upright; expel; to shirk; to raise up
㫗	thick; deep friendship; to treat kindly; generous
㫪	to pound (grain) in order to remove the husk
㬎	motes in a sunbeam; bright; fibrous; to manifest; to display; to be illustrious; evident; to seem; to appear; cocoons; chrysalis; will not have a pleasant conversation
㬚	light; bright; clear
㬜	to advance; to increase; to flourish
㬢	sunshine; sunlight; the light of day
㭭	a kind of tree; a harrow; a drag; a written contract or agreement; a bond; a deed; handles of spears or lances used in ancient times
㮇	a builder's frame for measuring; juniper; a poker (for stirring fire); a cylinder part on the old style of wooden doors
㮈	but; how; what; a remedy; a resource; to bear; to endure
㮍	a memorandum tablet; slip of paper; fancy note-paper; a note; a document; comments
㮤	pine; fir; loose; lax; slack
㮶	a tree; a fence; a palisade; a railing
㯃	the varnish tree; paint; lacquer; varinish; to paint or varinish; black; sticky
㯍	an oar
㯰	to plant; to set up; to erect; plants
㰏	a bamboo pole; a pole for punting a boat
㰦	to breath with mouth open
㳃	to temper iron or steel for making swords, etc. (also used figuratively); to dip into water; to soak; to dye
㳒	statutes; laws; regulations; a rule; legal standard; plan or methods, etc.
㴑	to trace up to a source; to go against the stream; water
㴞	fluent; to fill; to prevail
㵤	to overflow; to spread
㶚	On ハ, バ; Kun — — name of a river in Shanxi
㷀	solitary; alone; single; brotherless; friendless; helpless; dice; a kind of gambling game played in ancient times
㷔	flame; blaze; glowing; brilliant
㸅	ashes; candle end
㸿	a calf
㹠	On —; Kun トン — small pig; sucking pig; to shuffle along without lifting the feet
㹦	dog with a short tail; the sable; the marten; mink
㹨	a kind of animal (looks like weasel); an ape with black color and long tail
㺃	a dog; canine
㺔	a kind of beast; a legendary monster
㽲	griping colic; illness; disease
㽵	solemn; large farmhouse
㽷	dropsy; hydrophillic swelling
㾮	jaundice
㿉	disease of the private part of the human body
㿗	disease of the private part of the human body
䀹	to wink eyelashes; having one eye smaller than the other; joke; witticism; pleasantry; jest; fun
䁘	to look at; to see; pretty eyes; farsightedness (as a physical defect); hypermetropia; to look from a distance
䂓	regulations; laws; rules; customs or usages; a pair of compasses
䄅	to worship; to honor by a rite or service; to offer sacrifices
䅏	rice boiled to gruel; congee; porridge
䅣	a variety of panicled millet; a small coarse grain resembling sorghum
䆴	(abbreviated form)
䆿	to talk in sleep; somniloquy
